PID,MS_SubClass,Lot_Frontage_Squared,ms_zone_category
526301100,20,19881,3
526351010,20,6561,3
526353030,20,8649,3
527105010,60,5476,3
527105030,60,6084,3
527127150,120,1681,3
527145080,120,1849,3
527146030,120,1521,3
527162130,60,3600,3
527163010,60,5625,3
527166040,60,3969,3
527180040,20,7225,3
527216070,60,2209,3
527225035,50,23104,3
527258010,20,7744,3
527276150,20,19600,3
527302110,20,7225,3
527358140,20,11025,3
527358200,85,7225,3
527403020,20,4225,3
527404120,20,4900,3
527425090,20,4900,3
527451180,160,441,4
527451330,160,441,4
527451410,160,441,4
527452190,120,2809,3
527453130,160,576,3
527453150,120,576,3
527454200,160,576,3
528108120,60,10404,3
528112020,20,9604,3
528120060,20,6889,3
528120090,20,8836,3
528120100,20,9025,3
528120120,20,8100,3
528138020,20,6241,3
528138060,20,4900,3
528150070,20,10000,3
528175010,120,1936,3
528176010,20,12100,3
528176070,60,11025,3
528180070,120,3721,3
528181050,120,1681,3
528188120,160,1296,3
528218150,20,10000,3
528228285,120,1849,3
528228440,120,1849,3
528231020,80,4489,3
528240130,60,3969,3
528328100,60,11664,3
528344070,60,3600,3
528358010,20,3481,3
528363130,60,9604,3
528382020,60,8464,3
528382030,60,3364,3
528386040,50,3136,3
528445060,20,5329,3
528456160,20,8464,2
528458070,60,5184,2
528458110,20,5625,2
528477080,60,10000,2
528480090,20,7056,2
531367050,60,5776,3
531369060,60,4900,3
531451110,120,2500,3
531451280,60,4900,3
531452020,120,3025,3
531452050,120,2500,3
531453010,20,6561,3
531453040,60,4900,3
532351140,90,4624,4
532354090,85,7744,3
532376160,20,4225,3
532377100,20,5625,3
532479070,20,1521,3
533130020,60,11449,3
533130130,60,7225,3
533130160,60,7744,3
533205060,120,625,2
533208090,160,1521,2
533210060,160,900,2
533212010,160,900,2
533212020,160,576,2
533212060,160,576,2
533223020,160,576,2
533238045,20,3249,2
533244030,60,4624,2
533253060,120,900,3
533253210,120,1600,3
534102025,20,6400,2
534151175,60,6400,3
534152100,60,6400,3
534176060,20,6084,3
534176230,60,6400,3
534202160,20,6400,3
534276360,20,5929,3
534401110,20,8100,3
534401140,20,7744,3
534425310,85,6400,3
534427010,90,9604,3
534430080,20,4624,3
534431050,50,4624,3
534431070,50,14400,3
534450180,20,2500,3
534451150,30,3025,3
534475100,20,6400,3
534476260,80,6400,3
534479320,20,6084,3
535101020,85,5625,3
535106190,90,6400,3
535126040,20,18769,3
535152010,90,4900,3
535152050,20,4900,3
535152150,20,4900,3
535152250,20,4900,3
535153070,20,5329,3
535175070,20,5329,3
535175180,20,7569,3
535179020,20,6400,3
535180130,50,3600,3
535302080,20,3600,3
535302200,20,14161,3
535304060,190,4900,3
535304180,20,4624,3
535325400,30,4225,3
535327140,20,3600,3
535350030,20,7225,3
535350040,20,5476,3
535353190,50,6084,3
535377090,90,4096,3
535425010,80,9216,3
535450210,50,3600,3
535453070,20,5625,3
535454070,50,5041,3
535456110,20,3600,3
535457010,20,7569,3
535457090,20,6561,3
535476350,20,6400,3
535477020,60,4900,3
